"Input";"Wdth";"hight";"Timestamp";"Number";"Date";"Key"
Kamera 1; videowdth 1280; videohight 960; 1508923388.72; Nummer 361; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.8; Nummer 362; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.88; Nummer 363; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923388.96; Nummer 364; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.05; Nummer 365; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.13; Nummer 366; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.21; Nummer 367; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.29; Nummer 368; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.38; Nummer 369; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.46; Nummer 370; ;objekt
Kamera 1; videowdth 1280; videohight 960; 1508923389.54; Nummer 371; ;objekt
